department,sessions,avg_login_hour,failed_auth_rate,avg_sensitive_resources,avg_download_mb,avg_upload_mb,new_device_rate,off_hours_rate
Compliance,252,11.547619047619047,0.44841269841269843,0.7619047619047619,12.873190476190477,0.9096190476190475,0.047619047619047616,0.0873015873015873
Information Technology,383,11.441253263707571,0.45430809399477806,0.7754569190600522,12.799221932114882,1.009608355091384,0.0783289817232376,0.13054830287206268
Human Resources,259,10.50965250965251,0.4247104247104247,0.23552123552123552,12.401853281853281,0.8668378378378379,0.06563706563706563,0.11583011583011583
Legal,132,11.363636363636363,0.42424242424242425,0.24242424242424243,12.338371212121212,0.8884015151515152,0.06060606060606061,0.11363636363636363
Procurement,127,12.291338582677165,0.3858267716535433,0.2755905511811024,11.749094488188977,0.8602992125984251,0.031496062992125984,0.11023622047244094
Risk,107,10.317757009345794,0.35514018691588783,0.2616822429906542,11.172719626168224,1.0602616822429907,0.018691588785046728,0.09345794392523364
Internal Audit,118,11.754237288135593,0.5,0.7203389830508474,11.105008474576271,0.8945593220338982,0.0423728813559322,0.1271186440677966
Finance,269,12.104089219330856,0.38661710037174724,0.25650557620817843,11.011594795539034,1.0646022304832714,0.05947955390334572,0.1412639405204461
Customer Service,724,11.654696132596685,0.3729281767955801,0.2610497237569061,10.831487569060775,0.8921795580110498,0.05110497237569061,0.11049723756906077
Marketing,128,11.484375,0.328125,0.28125,10.7575,0.94459375,0.078125,0.0625
Loans,243,11.8559670781893,0.4609053497942387,0.23868312757201646,10.487452674897119,1.0347901234567902,0.053497942386831275,0.12345679012345678
Treasury,141,11.056737588652481,0.425531914893617,0.2978723404255319,10.311489361702128,1.2535602836879434,0.0851063829787234,0.0851063829787234
Executive,117,10.948717948717949,0.4444444444444444,0.24786324786324787,10.093641025641025,1.1865982905982906,0.05982905982905983,0.1111111111111111
